OID|DESCRIPTION|AMOUNT|RPT_ID
80713|Employee dues withheld|512|534777
80714|Impact Fund|6041|534777
80715|Federal Taxes W/H|2277|534779
80716|FICA Social Security Taxes W/H|2359|534779
80717|FICA Medicare Taxes W/H|552|534779
80718|State Taxes Payable|1636|534779
80719|SUI Taxes Payable|159|534779
80720|FUTA Taxes Payable|263|534779
80721|Credit Card Payable|3162|534779
80722|NONE|0|534782
80723|PAYROLL LIABILITIES|37|534783
80724|REFUNDABLE DEPOSITS|30180|534783
80725|ACCRUED PAYROLL WITHHOLDINGS|3459|534787
80726|Credit card payable|4178|534790
80727|ACCRUED AND WITHHELD PAYROLL TAXES|1600|534792
80728|Working Assessment Withholding|4140|534797
80729|Payroll taxes payable|2484|534798
80730|Death benefits payable|4704|534798
80731|PAYROLL WITHHOLDINGS|3053|534800
80732|DUE TO MEMBERS|15189|534800
80733|VACATION WITHHELD|1351|534801
80734|PAYROLL TAXES|2036|534801
80735|Payroll Liabilities|3981|534804
80736|PAYROLL LIABILITIES|30843|534809
80737|PAYROLL TAXES WITHHOLDING AND OTHER|1548|534813
80738|PAYROLL TAXES WITHHELD AND ACCRUED|4561|534817
80739|NONE|0|534823
80740|PAYROLL WITHHOLDINGS PAYABLE|3072|534826
80741|Affiliation Dues Payable|18764|534827
80742|Employee Benefits Payable|10052|534827
80743|Payroll Taxes Payable|3388|534827
80744|Accrued wages and vacation payable|211668|534828
80745|Payroll taxes and other withholdings payable|38870|534828
80746|ACCRUED SALARIES|6860|534831
80747|CONTRACTED JOBS PAYABLE|1941640|534831
80748|DEATH BENEFITS PAYABLE|46754|534831
80749|UNEARNED DUES|16133|534833
80750|PAYROLL TAX WITHHOLDINGS|1356|534833
80751|ACCRUED TARGET GRANTS|21430|534833
80752|DUE TO APPRENTICE FUND|20286|534833
80753|Payroll Withholding Payable|1837|534834
80754|Payroll Liabilities|9752|534835
80755|Property Tax Payable|2850|534835
80756|Accrued Insurance Premium|6807|534835
80757|Due to Laborers' MAROC|62140|534835
80758|Due to WV State Building Trades|27473|534835
80759|Due to Other Affiliates|3981|534835
80760|ACCRUED REAL ESTATE TAXES|222104|534837
80761|DUE TO IUOE LOCAL 399 MEMBERS H&W FUND|9528|534837
80762|DUE TO IUOE LOCAL 399 DEF COMP EMPL SAVINGS PLAN|69|534837
80763|ACCRUED UNEMPLOYMENT TAXES|215|534837
80764|ACCRUED EXPENSES|51250|534838
80765|MEMBER LIFE INSURANCE PREMIUMS NOT REMITTED AT Y/E|9319|534839
80771|Death Benefits Payable|3650|534852
80772|Accrued Payroll Taxes|263|534852
80773|A/P - International|10039|534852
80774|SEVERANCE PAYABLE|204892|534858
80775|ACCRUED EXPENSES|24514|534858
80776|PAYROLL WITHHOLDINGS|22003|534859
80777|PENSION LIABILITY|3072900|534859
80778|ACCRUED SALARIES AND VACATION|89446|534860
80779|SPECIAL ASSESSMENT - ELECTRICAL WELFARE TRUST FUND|40004|534860
80780|Estimated liability for compensated absences|14578|534863
80781|Due to Related Party|18101|534863
80782|Payroll Liability|2459|534863
80783|PAYROLL WITHHOLDING LIABILITIES|794|534864
80784|VACATION AND HOLIDAY PAY WITHHELD|2100|534866
80785|OTHER PAYROLL WITHHOLDINGS|1479|534866
80786|Dues Payable to Locals|320276|534867
80787|PAYROLL TAXES|1961|534868
80788|ACCOUNTS PAYABLE PAYROLL|500632|534869
80789|DUES PAYABLE NEA|1854075|534869
80790|DUES PAYABLE TO LOCALS|8|534869
80791|ACCRUED VACATION|3916361|534869
80792|POST RETIREMENT BENEFIT (ST)|798233|534869
80793|DEPENDENT CARE|4085|534869
80794|ADVANCE NEA R/A RECEIPTS|58116|534869
80795|ADVANCE SLA RECEIPTS|14025|534869
80796|REAL ESTATE TAXES PAYABLE|76829|534869
80797|NEA GRANT PROJECTS|434878|534869
80798|COMMUTER BENEFITS|4908|534869
80799|REGIONAL REBATE|655433|534869
80800|RESERVE UNCOLLECTED DUES|205202|534869
80801|DEFERRED DUES|7617203|534869
80802|ADVANCE DUES RECEIPTS|3886|534869
80803|CAPITAL LEASE (ST)|14317|534869
80804|DEFINED BENEFIT PENSION LIABILITY|23052239|534869
80805|POST RETIREMENT BENEFIT (LT)|8146400|534869
80806|DEFERRED RENT|95231|534869
80807|IELRB ESCROW|23012|534869
80808|FICA|1556|534870
80809|Vacation Payable|1600|534870
80810|Pensions Payable|1277|534870
80811|Accrued payroll tax liability|370|534871
80812|INTERNATIONAL HEADQUARTERS|11339|534874
80813|PAYROLL WITHHOLDING LIABILITIES|2350|534877
80814|PER CAPITA DUES PAYABLE|8337|534881
80815|AFFILIATION DUES PAYABLE|389|534881
80816|DFD REV - PPD ASSESSMENTS|25347|534881
80817|Accrued Payroll Taxes|1737|534882
80818|Accrued Benefits|19995|534882
80819|Deferred Revenue|2502|534882
80820|N/A|0|534883
80821|COPE LIABILITY|2719|534884
80822|WITHHELD BENEFITS PAYABLE|813|534885
80823|Tri-State Organizing Fund|14235|534886
80824|Apprenticeship Training Fund|181689|534886
80825|PAC Fund619 Portion|53541|534886
80826|Building and Trade Fund|13502|534886
80828|Payroll withholdings|75|534888
80829|Prepaid Dues|19029|534889
80830|Due to Employers Cooperative Trust|39756|534889
80831|Due to Training and Education Fund|27373|534889
80832|Due to Political Action Fund|4756|534889
80833|PAYROLL WITHHOLDING LIABILITIES|1262|534890
80834|Payroll Tax Payable|1672|534892
80835|Dues Withholding|9473|534897
80836|Vacation Withholding|2877|534897
80837|Security Deposits|9500|534897
80838|Accrual for Lawsuit Judgment|1700000|534901
80839|Withholdings payable|366|534902
80840|Employer bonds payable|22500|534902
80841|Due to Hacienda de los Angeles|21000|534902
80842|Accrued Payroll Liabilities|19573|534904
80843|Payroll Taxes on Accrued Payroll Liabilities|1425|534904
80844|Deferred Revenue on Dues|28477|534904
80845|Due to Wefare Fund|2030|534905
80846|Equality Fund - General Obligations|1688718|534905
80847|Payroll withholdings|3430|534906
80848|PAYROLL WITHHOLDINGS PAYABLE|147|534907
80849|SEVERANCE PAY PAYABLE|6643|534907
80850|401 (K) WITHHOLDING|640|534909
80851|ACCRUED EXPENSES - TRUST FUND|790|534909
80852|CREDIT CARDS PAYABLE|431|534914
80853|PAYROLL TAX LIABILITIES|889|534914
80854|PAYROLL WITHHOLDINGS|1144|534915
80855|DUE TO AFFILIATES|14018|534915
80856|Accrued Payroll Deductions|396|534917
80857|Credit Card Balance|1545|534917
80858|Due to Local 350 Annuity|2393|534918
80859|Due to Local 350 Apprentice|1345|534918
80860|A/P - International|1581|534918
80861|Accrued Vacation Pay|610425|534923
80862|Accrued Expenses|347078|534923
80863|Deferred Revenue|1445|534923
80865|PAYROLL WITHHOLDINGS|712|534925
80866|DUE TO AFFILIATES|2493|534925
80867|Due to International|68169|534929
80868|Benefits payable|6045|534935
80869|International Headquaters Payable|8572|534935
80870|Payroll withholdings|254|534935
80871|Due to affiliates|27735|534935
80872|PAYROLL TAX LIABILITIES|419|534936
80873|Vacation and Sick Pay Accrual|63458|534946
80874|Exchanges|63705|534946
80875|Working dues collected|71832|534950
80876|DUES PAID IN ADVANCE|44289|534958
80877|PAYROLL TAX LIABILITIES|2588|534958
80878|Due to Council|1088|534959
80879|Rent Security Deposit|900|534960
80880|ALABAMA INCOME TAX WITHHELD|2289|534962
80881|COPE AND PAYROLL LIABILITIES|29617|534966
80882|ACCRUED DUES|3200|534966
80883|Dues Related Payables|516675|534967
80884|Payroll Related Payables|359268|534967
80885|Vacation Liability|582004|534967
80886|MEMBER LIFE INSURANCE PREMIUM W/H NOT YET REMITTED|15708|534968
80887|SALES TAX COLLECTED NOT YET REMITTED|1434|534968
80888|DEFERRED COMPENSATION AGREEMENT|162578|534968
80889|SECURITY DEPOSIT|1875|534968
80890|DUE TO AFFILIATES-AMTS COLLECTED NOT YET REMITTED|49413|534968
80891|Accrued withholding taxes|1233|534970
80892|Payroll Tax Liability|2445|534972
80893|Accrued Vacation|28800|534972
80894|Benefits Payable|8484|534976
80895|Accrued Payroll Taxes|510|534976
80896|A/P - International|2166|534976
80897|Deferred Income - Land Deposit|10000|534976
80898|DEFERRED REVENUE|374881|534977
80899|ACCRUED VACATION|9476|534977
80900|PAYROLL TAX LIABILITIES|6523|534978
80901|Payroll Taxes Withheld|3264|534980
80902|Security Deposits|3000|534980
80903|DUE TO AFFILIATES|60512|534981
80904|PAYROLL WITHHOLDINGS PAYABLE|2090|534987
80905|Credit Cards Payable|24016|535003
80906|PAYROLL TAX WITHHOLDING|3676|535005
80907|BUILDING FUND WITHHOLDING|547|535005
80908|COMPULSORY SAVINGS|2000|535005
80909|PAYROLL TAXES W/H AND ACCURED UNEMPLOYMENT|1990|535006
80910|Vacation Accrual|66273|535013
80911|Severance Accrual|92323|535013
80912|Retires Chapter fund|7939|535013
80913|KY Pension Coalition 2013|5000|535013
80914|Misc Liabilities|7|535013
80915|WITHHELD PAYROLL TAX LIABILITY|1343|535017
80916|Payroll withholding|430|535018
80917|Payroll Withholdings|160|535026
80918|Payroll Tax & Other Deductions Liabilities|2903|535048
80919|Payroll Taxes Payable|665|535051
80920|Restricted Cash - Locals 15 & 424 Job Target Fund|837884|535060
80921|Payroll Taxes payable|1819|535060
80922|Due to IPAL|3622|535060
80923|Due to Target Fund|23667|535060
80924|Death Benefit Payable|1100|535060
80925|Per Capita Payable|13246|535061
80926|Payroll Taxes Payable|698|535061
80927|PAYROLL WITHHOLDINGS NOT REMITTED @ YE|28059|535063
80928|STRIKE ASSISTANCE FROM INTERNATIONAL ASSOCIATION|6573|535063
80929|PAYROLL WITHHOLDINGS LIABILITIES|248|535064
80930|STATE OF MICHIGAN WITHHOLDING|2448|535066
80931|ACCRUED COMMITTEE EXPENSE|10080|535066
80932|123 CONTRIBUTION WITHHELD|3520|535066
80933|STATE AND FEDERAL UNEMPLOYMENT TAX|1915|535066
80934|DUE TO PAC FUND|4789|535066
80935|ACCRUED PENSION|16438|535066
80936|ACCRUED SICK AND VACATION|8593|535068
80937|WITHHELD BENEFITS|1280|535071
80938|PAYROLL WITHHOLDING LIABILITIES|193|535072
80939|SAVINGS PLAN DUE|50|535074
80940|Accrued Payroll Expense|4638|535076
80941|ACCRUED AND WITHHELD PAYROLL ITEMS|8982|535077
80942|MEMBER LIFE INS PREMIUMS COLLECTED NOT REMITTED|10945|535079
80943|DEFERRED COMPENSATION PLAN|94895|535086
80944|PER CAPITA TAX PAYABLE|38155|535086
80945|ACCRUED VACATION PAY|15526|535086
80946|Per Capita Tax Payable|6567|535093
80947|PAYROLL W/H AND ACCRUED BENEFITS|50749|535094
80948|CONSTRUCTION DIVISION FIELD DUES PAYABLE|47491|535094
80949|DEFERRED INCOME - MORTUARY|46251|535095
80950|DEFERRED INCOME - GENERAL|94796|535095
80951|DEFERRED INCOME - BUILDING|37958|535095
80952|DUE TO/FROM BROKER|974615|535095
80953|State and City Withholdings|2456|535098
80954|Savings Withholdings|3220|535098
80955|Working Assessment Withholdings|1967|535098
80956|Over Payment of Member Dues|686|535098
80957|PAYROLL WITHHOLDING NOT REMITTED AT YEAR END|963|535115
80958|DUE TO RELATED ORGANIZATIONS|2589|535115
80959|MINORITY INTEREST IN LAND TRUST|75659|535115
80960|PAYROLL TAXES WITHHELD NOT REMITTED AT YEAR END|1141|535124
80961|PAYROLL TAXES PAYABLE|5973|535126
80962|RENT SECURITY DEPOSIT|4900|535137
80963|Payroll Liabilities|27907|535146
80964|Fringe Benefits|61675|535146
80965|PAYROLL TAX AND OTHER WITHHOLDINGS |4656|535153
80966|DEFERRED SAVINGS |15191|535153
80967|INTERNATIONAL DEATH BENEFIT PAYABLE|6975|535153
80968|DUE TO AFFILIATES|723|535153
80969|UNPROCESSED DEPOSITS|18370|535153
80970|INSURANCE PREMIUMS NOT REMITTED AT Y/E|11185|535157
80971|PAYROLL WITHHOLDINGS NOT REMITTED AT Y/E|542|535157
80972|Member Dues|104529|535158
80973|Committed Target Jobs|867654|535158
80974|Death Claims Payable|4400|535158
80975|DUE TO PATCH FOUNDATION|809|535159
80976|PAYROLL TAXES WITHHELD NOT REMITTED AT YEAR END|273|535162
80977|BUILDING INSPECTOR DUES COLLECTED TO BE REMITTED|23897|535162
80978|LIFE INSURANCE PREMIUMS COLLECTED TO BE REMITTED|24778|535162
80980|Vacation Pay Payable|320|535164
80979|Pension Payable|756|535164
80981|Payroll Taxes Payable|1888|535168
80982|DUES ASSESSMENTS PAID IN ADVANCE|213425|535170
80983|Payroll Taxes Payable|2064|535171
80984|International Union of Painters and Allied Trades|19711|535174
80985|Payroll Witholdings|9882|535179
80986|MEMBER LIFE INSURANCE PREMIUMS DUE TO INSURANCE CO|10294|535180
80987|N/A|0|535181
80988|Payroll Tax Deductions and Withholding|1321|535183
80989|Accrued Property Taxes|1143|535183
80990|FICA/MEDICARE/FWT/STATE WH TAX PAYABLE|1088|535185
80991|FEDERAL UNEMPLOYMENT TAX PAYABLE|110|535185
80992|STATE UNEMPLOYMENT TAX PAYABLE|179|535185
80993|APPRENTICE FUND PAYABLE|5|535185
80994|SAVINGS PAYABLE|291|535185
80995|BLGD TRADE & ACCT|649|535185
80996|PIP|35|535185
80997|ACTIVITY FUND|29|535185
80998|WORK ASSESSMENT PAYABLE|321|535185
80999|WVSPT|7|535185
81000|PAYROLL WITHHOLDINGS PAYABLE|4238|535189
81001|DEATH BENEFITS PAYABLE|17600|535189
81002|PAYROLL TAXES & WITHHOLDINGS PAYABLE|220|535191
81005|PAYROLL TAXES PAYABLE|3673|535206
81006|BOILERMAKERS VACATION FUND|5160|535206
81007|BOILERMAKERS PENSION FUND|1911|535206
81008|DAMAGE DEPOSITS|1200|535208
81009|AMOUNTS DUE OTHERS|7613|535208
81010|PAYROLL WITHHOLDINGS|3324|535210
81012|PAYROLL WITHHOLDINGS NOT REMITTED AT Y/E|1858|535212
81013|DUE TO AFFILIATES|834|535212
81014|AMOUNTS HELD FOR OTHERS|14314|535212
81015|PAYROLL WITHHOLDINGS|2089|535214
81016|CONTRIBUTION ACCOUNT|765|535214
81017|Payroll Taxes Payable|4079|535216
81018|WITHHELD PAYROLL TAXES PAYABLE|1704|535217
81019|DUES PAYABLE|2151|535220
81020|PAYROLL WITHHOLDING|4708|535220
81021|401K WITHHOLDING|7510|535220
81022|Payroll Tax|38638|535224
81023|Payroll Tax Liabilities |790|535227
81024|NONE|0|535229
81025|Payroll Liabilities|11494|535234
81026|Deposits Held|4569|535234
81027|Miscellaneous Liabilities|813|535234
81028|PAYROLL WITHHOLDINGS|5352|535235
81029|PAYROLL TAXES WITHHELD BUT NOT REMITTED|668|535236
81030|LIFE INSURANCE PREMIUM COLLECTED BUT NOT REMITTED|11301|535236
81031|Payroll taxes|672|535240
81032|Reserve for market recovery|256207|535240
81033|Working assessments payable|1024|535240
81034|Reserve for death benefits|42455|535240
81035|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|222|535241
81036|INSURANCE PREMIUMS NOT REMITTED AT YEAR END|9592|535241
81037|Accrued wages, vacation and sick|85027|535242
81038|Accrued taxes and withholding|6323|535242
81039|Due International Office|47172|535242
81040|Capital lease obligation|6332|535242
81041|LIFE INSURANCE PREMIUMS COLLECTED TO BE REMITTED|18277|535244
81042|PAYROLL WITHHOLDINGS NOT REMITTED AT Y/E|485|535244
81043|Payroll taxes|4161|535245
81044|PAYROLL LIABILITIES|9886|535247
81045|NA|0|535249
81046|Payroll taxes, benefits and misc witholdings|27995|535250
81047|Vacation Withholding|394|535251
81048|NASSIVERA SETTLEMENT PAYABLE|18171|535253
81049|DUES WITHHOLDING|2119|535253
81050|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|1068|535254
81051|Payroll withholdings|5958|535255
81052|PAYROLL WITHHOLDINGS|254|535256
81053|CONTRACTOR BONDS PAYABLE|33000|535256
81054|EMPLOYEE PAYROLL WITHHOLDINGS|984|535257
81055|DEFERRED REVENUE|62075|535259
81056|PAYROLL TAX WITHHOLDINGS|3839|535259
81057|ACCRUED EXPENSES|40403|535259
81058|BROADWAY BONDS PAYABLE|270288|535259
81059|OFF-BROADWAY BONDS PAYABLE|152541|535259
81065|Employee Deductions Payable|20516|535265
81066|Accrued Leave Payroll Taxes|1569|535265
81067|Payroll tax payable|338|535266
81068|Pension payable|3348|535266
81069|Health insurance payable|2989|535266
81070|American Express|276|535269
81071|MEMBER LIFE INSURANCE PREMIUMS NOT REMITTED @ Y/E|5569|535270
81072|PAYROLL WITHHOLDINGS NOT REMITTED @ Y/E|411|535270
81073|Benefits payable|3050|535274
81074|Payable to affiliate|15905|535274
81075|DEFERRED COMPENSATION ANNUITY|1444599|535275
81076|APPEAL BOND|500|535275
81077|Deferred Event Revenue|10900|535276
81078|Accrued Payroll|10792|535276
81079|Due to Affililiate|272902|535276
81080|PAYROLL TAXES WITHHELD|5558|535277
81081|PAYROLL TAXES WITHHELD AND NOT REMITTED AT YEAR-EN|420|535278
81082|Payroll Liabilities|12089|535281
81083|DUES PAID IN ADVANCE|18659|535282
81084|TRANSFERS PAYABLE TO OTHER FUNDS|448254|535282
81085|Payroll Liabilities|2963|535283
81086|ACCRUED WAGES|5577|535284
81087|Other Liabilities|10348|535285
81088|Payroll Witholdings Payable|1750|535286
81094|NC withholding|699|535288
81089|NC unemployment|819|535288
81090|Federal unemployment|338|535288
81091|Medicare withheld|281|535288
81092|Social Security withheld|1200|535288
81093|Federal withholding|1018|535288
81095|Cash held in agency|15574|535288
81096|Per Capita Due for June 2013|15596|535290
81097|Payroll Liabilities |5088|535290
81100|VACATION FUND|9810|535291
81102|IPAL|234|535291
81098|PAYROLL LIABILITIES|32518|535291
81099|INTERNATIONAL DEATH BENEFITS|200|535291
81101|WORKING ASSESSMENT|2148|535291
81103|NWIBT |35|535291
81104|Payroll Taxes|2574|535292
81105|PAYROLL TAXES|2711|535293
81106|OTHER PAYROLL WITHHOLDINGS|640|535293
81107|EXCESS PENSION OBLIGATION OVER PLAN ASSETS|96203332|535294
81108|ACCRUED POST RETIREMENT BENEFIT COSTS|185722000|535294
81109|ACCRUED SUPPLEMENTAL PENSION PLAN LIABILITY|873713|535294
81110|ACCRUED VACATION LIABILITY|849790|535294
81111|SPECIAL PURPOSE FUNDS HELD ON BEHALF OF OTHERS|44186|535294
81112|COLLECTED FROM MEMBERS FOR DISB ON THEIR BEHALF|38609|535294
81113|DUE TO AFL-CIO FOR STATE AFFILIATION FEES|367436|535294
81114|RECIPROCITY FUNDS COLLECTED PENDING SETTLEMENT|5258022|535294
81115|DUE TO BROKER FOR SECURITIES PENDING SETTLEMENT|5505514|535294
81116|FUNDRAISING FUNDS COLLECTED FOR DISBURSEMENT|18450|535294
81117|UNBILLED RENT LIABILITY|1774474|535294
81118|PER CAPITA TAX RECEIVED IN ADVANCE|6917777|535294
81119|Deposits payable|275|535296
81120|Due to NYC District Council|82671|535296
81121|ACCRUED EMPLOYEE LEAVE|342989|535297
81122|ACCRUED POST RETIREMENT BENEFITS|7824287|535297
81123|Accrued Withholding-Vacation Fund|1520|535298
81124|Accrued Withholding-Federal|942|535298
81125|Accrued Withholding-FICA|857|535298
81126|Accrued Withholding-State|822|535298
81127|Accrued Withholding-Pension|3068|535298
81128|Accrued Withholding-Joint Membership Fund|59767|535298
81129|Payroll Liabilities |5166|535299
81130|Unremitted collections on behalf of affiliates|8889|535300
81131|Payroll Tax withholdings|7036|535300
81132|Accrued Payroll Tax and Payroll Withholdings|14709|535301
81133|Picnic Fund Liabilities|2262|535301
81134|Member's Savings Liability|66632|535301
81135|FICA & FIT w/h|749|535306
81136|State Tax w/h|606|535306
81137|City Tax w/h|977|535306
81138|Accrued FUTA|595|535306
81139|Dues & Assessments w/h|660|535306
81140|Vacation w/h|1700|535306
81141|A/P - International|6976|535310
81142|Benefits Payable|11821|535310
81143|EPEC FUND PAYABLE|359|535311
81144|PAYROLL TAXES PAYABLE|2302|535311
81145|Payroll Taxes Payable|337|535316
81146|Per Capita Payable|11708|535318
81147|IBEW-COPE Payable|136|535318
81148|Accrued Payroll Taxes|2959|535318
81149|Payroll taxes withheld|3611|535319
81150|PAYROLL WITHHOLDINGS|4548|535321
81151|GE Capital Program (Office Copier Lease)|7339|535334
81152|PAYROLL TAXES|3202|535337
81153|DUE TO AFFILIATED ENTITIES|34510|535340
81154|Employee Payroll Withholdings|6128|535351
81155|Payroll Withholdings|1962|535352
81156|Payroll deductions and withholding|19510|535355
81157|Withholding|3803|535356
81159|Overpaid dues liability|5866|535369
81160|Payroll taxes and withholding payable|7550|535369
81162|PAYROLL TAXES|5755|535375
81163|DUE TO MEMBERS|61|535375
81164|PAYROLL WITHHOLDING LIABILITIES|3827|535376
81165|PAYROLL LIABILITIES|4724|535377
81166|PAYROLL TAXES WITHHELD AND UNPAID|5209|535378
81167|PER CAPITA TAXES PAYABLE|28456|535378
81168|ACCRUED INTEREST PAYABLE|13018|535378
81169|ACCRUED EXPENSES|1275|535378
81170|PAYROLL WITHHOLDINGS|3509|535379
81171|TENANT DEPOSITS|3600|535379
81172|FSA LIABILITY|2328|535379
81173|Payroll Taxes|3828|535380
